strategy,n_days,ann_return_pct,ann_vol_pct,sharpe,boot_lo,boot_hi,max_dd_pct,terminal_equity,sub1,sub2,sub3,sub4,sub5,wf_positive
Buy & Hold (EW),5455,2.9997942885890456,9.385150537303588,-2.191881847141938e-05,-0.44714633968286865,0.4538463548370941,-37.08454952023682,1.9143157190605282,0.1576760905186814,-0.08753014803989928,-0.0653802449176907,-0.20062536876559797,0.3273792153378941,2
MA crossover 20/100,5456,4.290200293287075,5.382560370292018,0.2397001063672378,-0.22558369627691574,0.6830464504197593,-15.106180244641065,2.5316275915177835,0.9620746583189648,-0.3155373703873219,0.14977540158713848,0.4729181240529443,0.08605729548717202,4
Inverse-vol risk parity,5456,3.1067919076190593,4.89643818496799,0.021810120660138127,-0.4296336824798782,0.4771518778586823,-16.610296504092148,1.9594133262181403,0.01694383988657446,-0.1601747563855496,0.38354825745249227,-0.3239262963908444,0.30827151579975315,3
Momentum top-3,5456,5.46595212345166,11.09003657676603,0.2223574382629095,-0.20544737608038774,0.6386787700662495,-36.0020674946543,3.2655297976246276,0.8614396920234295,-0.15426137071989052,0.18228834832103386,0.10730164865830635,0.30569007279767585,4
Lead-lag sugar V1,5456,9.842263920755933,7.955871506831115,0.8600269517778146,0.41097809979818156,1.2960785501361756,-14.723591964826465,8.422681555268117,0.5081899792681615,0.5284492874965759,0.9830464568021666,1.0065986461117729,1.2231380505102687,5
