asset,n,ks_stat,ks_pvalue,mean_log_score
gurkor,1599,0.0822558713985585,7.364379931880047e-10,2.0205104080940663
guitars,1599,0.10444174403586148,1.2187786710152355e-15,0.5586291536101214
slingshots,1599,0.0658594710899012,1.7896073566177674e-06,0.647286469107516
stocks,1599,0.1658195333198328,6.800352317730217e-39,0.4819244748852247
sugar,1599,0.08920440445867162,1.60396763525892e-11,0.6892948062696558
water,1599,0.09567500665065198,3.4331705054032555e-13,2.2869484543125815
tranquillity,1599,0.12660688865785336,8.407087896533628e-23,0.9096201416634888
