asset,model,origin,u_pit
guitars,RW-G,2950,0.5808224934750539
guitars,RW-t,2950,0.5788992867623237
guitars,ARIMA-G,2950,0.6451313400428086
guitars,ARIMA-t,2950,0.6414450729475387
guitars,RW-G,3000,0.7509654847110591
guitars,RW-t,3000,0.74371104254435
guitars,ARIMA-G,3000,0.771416879018963
guitars,ARIMA-t,3000,0.7632693829109246
guitars,RW-G,3050,0.7266276735676876
guitars,RW-t,3050,0.7202599653126922
guitars,ARIMA-G,3050,0.7586465522701116
guitars,ARIMA-t,3050,0.7509821649781327
guitars,RW-G,3100,0.7527657669074046
guitars,RW-t,3100,0.7453233095379013
guitars,ARIMA-G,3100,0.7752767413954946
guitars,ARIMA-t,3100,0.766839891578887
guitars,RW-G,3150,0.8605170915134295
guitars,RW-t,3150,0.8481644247683906
guitars,ARIMA-G,3150,0.8424998336740543
guitars,ARIMA-t,3150,0.8308898657217568
guitars,RW-G,3200,0.8890520886872939
guitars,RW-t,3200,0.8753473043901502
guitars,ARIMA-G,3200,0.8815732584460523
guitars,ARIMA-t,3200,0.8680862482626481
guitars,RW-G,3450,0.6892739497205624
guitars,RW-t,3450,0.683984054108704
guitars,ARIMA-G,3450,0.7771665572297028
guitars,ARIMA-t,3450,0.7683726196946723
guitars,RW-G,3500,0.8836953221642472
guitars,RW-t,3500,0.8700924093382558
guitars,ARIMA-G,3500,0.9147496747660172
guitars,ARIMA-t,3500,0.899848223736055
guitars,RW-G,3550,0.7617289253816631
guitars,RW-t,3550,0.7536123759195419
guitars,ARIMA-G,3550,0.8012553795465653
guitars,ARIMA-t,3550,0.7913245717735726
guitars,RW-G,3600,0.741562033435893
guitars,RW-t,3600,0.7342285027213054
guitars,ARIMA-G,3600,0.7969676794145577
guitars,ARIMA-t,3600,0.7871705443106842
guitars,RW-G,3650,0.7035393652610908
guitars,RW-t,3650,0.6976340781001524
guitars,ARIMA-G,3650,0.7884656590629411
guitars,ARIMA-t,3650,0.7790019662726754
guitars,RW-G,3700,0.062484856224046
guitars,RW-t,3700,0.0782419087754077
guitars,ARIMA-G,3700,0.167093737703149
guitars,ARIMA-t,3700,0.1787201490662697
guitars,RW-G,3750,0.2050566710870091
guitars,RW-t,3750,0.2147445064516314
guitars,ARIMA-G,3750,0.3063455740118008
guitars,ARIMA-t,3750,0.3119078239337914
guitars,RW-G,3800,0.0274171076267669
guitars,RW-t,3800,0.0420223565130344
guitars,ARIMA-G,3800,0.0993991310564559
guitars,ARIMA-t,3800,0.1140753866633709
guitars,RW-G,3850,0.0098509648593269
guitars,RW-t,3850,0.0210839772854934
guitars,ARIMA-G,3850,0.0392265060647563
guitars,ARIMA-t,3850,0.0547100487776814
guitars,RW-G,3900,0.0294107669402239
guitars,RW-t,3900,0.0443916153931219
guitars,ARIMA-G,3900,0.0316609405561118
guitars,ARIMA-t,3900,0.0468919650468809
guitars,RW-G,4150,0.8908030231574913
guitars,RW-t,4150,0.875463717344016
guitars,ARIMA-G,4150,0.9679607869755624
guitars,ARIMA-t,4150,0.951644115397039
guitars,RW-G,4200,0.6456870549939735
guitars,RW-t,4200,0.6414067802681358
guitars,ARIMA-G,4200,0.7324821327464927
guitars,ARIMA-t,4200,0.7248400331773058
guitars,RW-G,4250,0.8498969433184536
guitars,RW-t,4250,0.8366344443009844
guitars,ARIMA-G,4250,0.9225180384665044
guitars,ARIMA-t,4250,0.905887834206007
guitars,RW-G,4300,0.4996939812521612
guitars,RW-t,4300,0.4997021529290508
guitars,ARIMA-G,4300,0.5761033744190557
guitars,ARIMA-t,4300,0.574014054683925
guitars,RW-G,4350,0.5969276824823738
guitars,RW-t,4350,0.5942552087718515
guitars,ARIMA-G,4350,0.6667166409942351
guitars,ARIMA-t,4350,0.6617749431266815
guitars,RW-G,4400,0.794329720360772
guitars,RW-t,4400,0.784064296056556
guitars,ARIMA-G,4400,0.8622981575287665
guitars,ARIMA-t,4400,0.8485241710111475
guitars,RW-G,4450,0.694643903148477
guitars,RW-t,4450,0.6887057015156102
guitars,ARIMA-G,4450,0.7451847011131625
guitars,ARIMA-t,4450,0.737151547956747
guitars,RW-G,4500,0.7854145380083304
guitars,RW-t,4500,0.7756367353578201
guitars,ARIMA-G,4500,0.8405481649231261
guitars,ARIMA-t,4500,0.8279751731973628
guitars,RW-G,4550,0.7100571555475391
guitars,RW-t,4550,0.703582915818503
guitars,ARIMA-G,4550,0.7646685854965873
guitars,ARIMA-t,4550,0.7558448133142152
guitars,RW-G,4600,0.0792539429265287
guitars,RW-t,4600,0.095432498658367
guitars,ARIMA-G,4600,0.1379768571504661
guitars,ARIMA-t,4600,0.1516442211285964
guitars,RW-G,4650,0.0992570725977373
guitars,RW-t,4650,0.1147431208214997
guitars,ARIMA-G,4650,0.1822145581343291
guitars,ARIMA-t,4650,0.1936514557176268
guitars,RW-G,4700,0.1645436126572356
guitars,RW-t,4700,0.1768339018954388
guitars,ARIMA-G,4700,0.2392042021818092
guitars,ARIMA-t,4700,0.247875561812677
guitars,RW-G,4750,0.3774254800568684
guitars,RW-t,4750,0.3808434011075616
guitars,ARIMA-G,4750,0.4652091045315294
guitars,ARIMA-t,4750,0.4661302682467381
guitars,RW-G,4800,0.5482935442033384
guitars,RW-t,4800,0.547007194434734
guitars,ARIMA-G,4800,0.6233354373640051
guitars,ARIMA-t,4800,0.6198683852356566
guitars,RW-G,4850,0.6338410693763181
guitars,RW-t,4850,0.6300392536090347
guitars,ARIMA-G,4850,0.7660104568944903
guitars,ARIMA-t,4850,0.7570590368936854
guitars,RW-G,4900,0.655430400898937
guitars,RW-t,4900,0.6509155429405067
guitars,ARIMA-G,4900,0.7397525989815736
guitars,ARIMA-t,4900,0.7319666312404678
guitars,RW-G,4950,0.5903095777976828
guitars,RW-t,4950,0.5878385206481828
guitars,ARIMA-G,4950,0.6641284129663072
guitars,ARIMA-t,4950,0.6592959894671984
guitars,RW-G,5000,0.8899585950090168
guitars,RW-t,5000,0.8750046506771412
guitars,ARIMA-G,5000,0.923141344856538
guitars,ARIMA-t,5000,0.9068961663963808
guitars,RW-G,5050,0.7431173323844468
guitars,RW-t,5050,0.7352861718736194
guitars,ARIMA-G,5050,0.8243359391149715
guitars,ARIMA-t,5050,0.8126242255628022
gurkor,RW-G,1200,0.5851303558830638
gurkor,RW-t,1200,0.5831609552430621
gurkor,ARIMA-G,1200,0.7270519941808572
gurkor,ARIMA-t,1200,0.7209292682476953
gurkor,RW-G,1250,0.7978249875069703
gurkor,RW-t,1250,0.7889825460755329
gurkor,ARIMA-G,1250,0.892092923852511
gurkor,ARIMA-t,1250,0.8792622019498779
gurkor,RW-G,1300,0.6236951138450472
gurkor,RW-t,1300,0.6207787095728958
gurkor,ARIMA-G,1300,0.7762430453098272
gurkor,ARIMA-t,1300,0.7683565239643319
gurkor,RW-G,1350,0.6761493116994708
gurkor,RW-t,1350,0.6717544889863933
gurkor,ARIMA-G,1350,0.8053131675965741
gurkor,ARIMA-t,1350,0.7962395462433157
gurkor,RW-G,1400,0.4204034625204892
gurkor,RW-t,1400,0.4222269869047265
gurkor,ARIMA-G,1400,0.5948042408064883
gurkor,ARIMA-t,1400,0.5926112312763196
gurkor,RW-G,1450,0.0184374952451863
gurkor,RW-t,1450,0.030686052814703
gurkor,ARIMA-G,1450,0.0662586340698868
gurkor,ARIMA-t,1450,0.0805596145945011
gurkor,RW-G,1500,0.0303580632750404
gurkor,RW-t,1500,0.0439510206948416
gurkor,ARIMA-G,1500,0.0950085225924088
gurkor,ARIMA-t,1500,0.1084355587321548
gurkor,RW-G,1550,0.0521085464563139
gurkor,RW-t,1550,0.0660269569019754
gurkor,ARIMA-G,1550,0.1382960568691604
gurkor,ARIMA-t,1550,0.1496301026207008
gurkor,RW-G,1600,0.0206922458443696
gurkor,RW-t,1600,0.0326256989148413
gurkor,ARIMA-G,1600,0.0613462575396426
gurkor,ARIMA-t,1600,0.0748462114946342
gurkor,RW-G,1650,0.3557514874602085
gurkor,RW-t,1650,0.3591524563214402
gurkor,ARIMA-G,1650,0.4724403978723187
gurkor,ARIMA-t,1650,0.4730365487568664
gurkor,RW-G,1700,0.4397459867617597
gurkor,RW-t,1700,0.4410547693089947
gurkor,ARIMA-G,1700,0.5504781277151009
gurkor,ARIMA-t,1700,0.5493960697557496
gurkor,RW-G,1750,0.5063032213014909
gurkor,RW-t,1750,0.5061713286656756
gurkor,ARIMA-G,1750,0.6171517614145369
gurkor,ARIMA-t,1750,0.6145837898121007
gurkor,RW-G,1800,0.909814495516353
gurkor,RW-t,1800,0.8972894639291923
gurkor,ARIMA-G,1800,0.930073075097085
gurkor,ARIMA-t,1800,0.917159968926086
gurkor,RW-G,1850,0.935452931768082
gurkor,RW-t,1850,0.9225775947744213
gurkor,ARIMA-G,1850,0.958078091301925
gurkor,ARIMA-t,1850,0.9454255385102822
gurkor,RW-G,1900,0.9343584423418138
gurkor,RW-t,1900,0.9220482920360408
gurkor,ARIMA-G,1900,0.9569282756157776
gurkor,ARIMA-t,1900,0.9448102522907594
gurkor,RW-G,1950,0.6702765054292223
