asset,method,n_folds,rmse_log,rmse_pct,rmse_calm,rmse_turb,fold_rmse_std,coverage95,cov_lo,cov_hi,crps
gurkor,linear,68,0.011165282887730983,1.1227847291654713,0.010784813473604738,0.011456731879548255,0.0047987400412927775,,,,
gurkor,spline,68,0.039636354686762916,4.043235704136827,0.03306334722422568,0.044139495914430185,0.022252725459724267,,,,
gurkor,univ_const,68,0.011165282887730981,1.1227847291654713,0.01078481347360474,0.011456731879548253,0.0047987400412927775,94.05882352941177,93.21340082055025,94.80479968159663,0.006136767988639064
gurkor,univ_garch,68,0.01115285446587157,1.1215279403472334,0.010804784776296034,0.011420155133345357,0.004760068098354276,94.35294117647058,93.52582477944009,95.07994715463035,0.006082737676391301
gurkor,biv_const,68,0.008174277656237752,0.8207778282765643,0.007801958777264467,0.008447382584942873,0.003655421262197489,96.86567164179104,96.21985008484064,97.40413418972054,0.004474561258728146
gurkor,biv_garch,68,0.008092322794449013,0.8125154139413615,0.007657908394747001,0.008408763976935482,0.0035909087623870605,97.22388059701493,96.61115630819016,97.72842529840588,0.004407200896153419
gurkor,biv_t,68,0.008092322794449013,0.8125154139413615,0.007657908394747001,0.008408763976935482,0.0035909087623870605,98.8955223880597,98.48140464522226,99.19763117753646,0.0045962576677491
guitars,linear,72,0.04234044186872591,4.3249584138934205,0.03716645371799273,0.046268708749622675,0.02152251373202602,,,,
guitars,spline,72,0.13349563077233403,14.281627289972443,0.0883128577904461,0.16217636010149544,0.08242856316799108,,,,
guitars,univ_const,72,0.0423404418687259,4.3249584138934205,0.03716645371799272,0.046268708749622675,0.021522513732026016,93.27777777777779,92.41280268757104,94.05049031810037,0.022260550410724028
guitars,univ_garch,72,0.042241239681379404,4.3146096631417885,0.03700149826733513,0.04621314856299446,0.02146338103396769,92.69444444444444,91.79810870797289,93.49976122124211,0.021998719552280385
guitars,biv_const,72,0.03120231408144917,3.16942090400536,0.02709838103997071,0.03411403139322035,0.015740473801633317,96.45714285714286,95.79199731080004,97.02042123665737,0.01677404777713231
guitars,biv_garch,72,0.03103380246842789,3.1520371231999578,0.026791952636571796,0.0340304208504039,0.015450611548677797,96.17142857142858,95.48343869269208,96.75817777267767,0.016429588986554538
guitars,biv_t,72,0.03103380246842789,3.1520371231999578,0.026791952636571796,0.0340304208504039,0.015450611548677797,98.22857142857143,97.73573298671143,98.61565846968962,0.017153138199164288
slingshots,linear,70,0.03828852440172764,3.9030975425459857,0.02743230801641825,0.04509030819849675,0.019533350238656044,,,,
slingshots,spline,70,0.16456345408270323,17.88783718240301,0.12434038248097587,0.19057286628459522,0.1057948194986138,,,,
slingshots,univ_const,70,0.03828852440172764,3.9030975425459857,0.027432308016418255,0.04509030819849675,0.019533350238656044,94.05714285714286,93.22451826851838,94.79316278940249,0.020122794097064214
